source_order,column,family,meaning,causal_availability,fold_local_selection
0,dataset,key,row identity,index only; never a learned numeric input,identity only
69,ms_r24_delta_grad_p90,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
70,ms_r24_delta_fg_frac,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
71,ms_r24_delta_centroid_dx,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
72,ms_r24_delta_centroid_dy,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
73,ms_r24_delta_elongation,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
74,ms_r24_delta_orient_cos,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
75,ms_r24_delta_orient_sin,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
76,ms_r40_cur_mean,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
77,ms_r40_cur_std,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
78,ms_r40_cur_p10,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
79,ms_r40_cur_p50,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
80,ms_r40_cur_p90,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
81,ms_r40_cur_grad_mean,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
82,ms_r40_cur_grad_p90,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
83,ms_r40_cur_fg_frac,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
84,ms_r40_cur_centroid_dx,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
85,ms_r40_cur_centroid_dy,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
86,ms_r40_cur_elongation,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
87,ms_r40_cur_orient_cos,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
88,ms_r40_cur_orient_sin,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
89,ms_r40_delta_mean,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
90,ms_r40_delta_std,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
91,ms_r40_delta_grad_mean,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
92,ms_r40_delta_grad_p90,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
93,ms_r40_delta_fg_frac,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
94,ms_r40_delta_centroid_dx,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
95,ms_r40_delta_centroid_dy,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
96,ms_r40_delta_elongation,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
97,ms_r40_delta_orient_cos,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
98,ms_r40_delta_orient_sin,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
99,ms_r8_prev_mean,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
100,ms_r8_prev_std,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
101,ms_r8_prev_p10,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
102,ms_r8_prev_p50,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
103,ms_r8_prev_p90,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
104,ms_r8_prev_grad_mean,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
105,ms_r8_prev_grad_p90,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
106,ms_r8_prev_fg_frac,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
107,ms_r8_prev_centroid_dx,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
108,ms_r8_prev_centroid_dy,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
109,ms_r8_prev_elongation,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
110,ms_r8_prev_orient_cos,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
111,ms_r8_prev_orient_sin,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
112,ms_r16_prev_mean,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
113,ms_r16_prev_std,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
114,ms_r16_prev_p10,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
115,ms_r16_prev_p50,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
116,ms_r16_prev_p90,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
117,ms_r16_prev_grad_mean,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
118,ms_r16_prev_grad_p90,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
119,ms_r16_prev_fg_frac,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
120,ms_r16_prev_centroid_dx,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
121,ms_r16_prev_centroid_dy,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
122,ms_r16_prev_elongation,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
123,ms_r16_prev_orient_cos,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
124,ms_r16_prev_orient_sin,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
125,ms_r24_prev_mean,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
126,ms_r24_prev_std,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
127,ms_r24_prev_p10,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
128,ms_r24_prev_p50,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
129,ms_r24_prev_p90,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
130,ms_r24_prev_grad_mean,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
131,ms_r24_prev_grad_p90,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
132,ms_r24_prev_fg_frac,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
133,ms_r24_prev_centroid_dx,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
134,ms_r24_prev_centroid_dy,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
135,ms_r24_prev_elongation,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
136,ms_r24_prev_orient_cos,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
137,ms_r24_prev_orient_sin,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
138,ms_r40_prev_mean,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
139,ms_r40_prev_std,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
140,ms_r40_prev_p10,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
141,ms_r40_prev_p50,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
142,ms_r40_prev_p90,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
143,ms_r40_prev_grad_mean,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
144,ms_r40_prev_grad_p90,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
145,ms_r40_prev_fg_frac,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
146,ms_r40_prev_centroid_dx,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
147,ms_r40_prev_centroid_dy,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
148,ms_r40_prev_elongation,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
149,ms_r40_prev_orient_cos,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
150,ms_r40_prev_orient_sin,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
151,tf_downsample,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
152,tf_flow_radius,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
153,tf_index_alignment_px,tissue_flow,distance between the tracking centroid and the sampled flow-grid location,computed from issue-frame tracking and causal flow-grid alignment,eligible; variance filtering and quotas fit on training movies only
154,tf_r64_cur_u_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
155,tf_r64_cur_v_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
156,tf_r64_cur_u_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
157,tf_r64_cur_v_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
158,tf_r64_cur_u_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
159,tf_r64_cur_v_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
160,tf_r64_cur_u_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
161,tf_r64_cur_v_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
162,tf_r64_cur_mag_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
163,tf_r64_cur_mag_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
164,tf_r64_cur_mag_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
165,tf_r64_cur_mag_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
166,tf_r64_cur_center_u,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
167,tf_r64_cur_center_v,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
168,tf_r64_cur_own_minus_mean_u,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
169,tf_r64_cur_own_minus_mean_v,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
170,tf_r64_cur_own_minus_center_u,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
171,tf_r64_cur_own_minus_center_v,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
172,tf_r64_cur_proj_own_dir,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
173,tf_r64_cur_proj_tangent,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
174,tf_r64_cur_cos_to_own,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
175,tf_r64_cur_div_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
176,tf_r64_cur_div_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
177,tf_r64_cur_div_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
178,tf_r64_cur_div_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
179,tf_r64_cur_curl_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
180,tf_r64_cur_curl_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
181,tf_r64_cur_curl_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
182,tf_r64_cur_curl_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
183,tf_r64_cur_shear1_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
184,tf_r64_cur_shear1_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
185,tf_r64_cur_shear1_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
186,tf_r64_cur_shear1_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
187,tf_r64_cur_shear2_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
188,tf_r64_cur_shear2_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
189,tf_r64_cur_shear2_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
190,tf_r64_cur_shear2_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
191,tf_r64_cur_front_back_u,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
192,tf_r64_cur_front_back_v,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
